Uniprot,Genes,IR,RAS,ATV
P09341,CXCL1,8.65,9.23,4.6
P26022,PTX3,1.76,1.36,3.77
P03956,MMP1,6.87,7.85,3.72
P17096,HMGA1,2.53,3.38,3.59
P78417,GSTO1,2.09,3.92,3.25
Q99988,GDF15,2.54,5.07,3.08
Q06323,PSME1,5.63,2.83,2.94
P01033,TIMP1,2.72,3.4,2.62
P23284,PPIB,1.23,2.65,2.5
P52823,STC1,7.5,7.53,2.49
P07858,CTSB,1.54,3.9,2.47
P24821,TNC,1.64,1.4,2.46
Q14766,LTBP1,1.97,2.14,2.43
P07339,CTSD,2.52,1.92,2.39
Q15149,PLEC,2.81,2.23,2.35
P53621,COPA,4.04,2.38,2.3
P22392,NME2,1.99,2.82,2.28
P09429,HMGB1,2.47,0.59,2.46
Q96AY3,FKBP10,2.14,2.28,2.28
O00391,QSOX1,0.61,0.97,2.23
O43399,TPD52L2,5.86,3.01,2.18
Q15582,TGFBI,1.37,0.43,2.13
P15121,AKR1B1,3.31,1.6,2.11
P80723,BASP1,1.19,2.72,2.1
P22692,IGFBP4,3.25,1.71,2.1
P05155,SERPING1,0.48,1.2,2.09
P07237,P4HB,1.76,2.17,2.09
P61604,HSPE1,6.65,3,2.07
P12111,COL6A3,0.48,1.5,2.06
P09871,C1S,0.5,0.95,2.06
P00558,PGK1,2.32,2.84,2.05
P14550,AKR1A1,1.4,2.53,2.05
Q16610,ECM1,2.03,2.29,2.04
P12109,COL6A1,0.99,2.65,2.01
P01034,CST3,1.29,3.35,1.99
O00151,PDLIM1,4.27,1.89,1.97
P49588,AARS,2.37,2.95,1.97
Q01995,TAGLN,0.52,0.44,1.96
Q9Y6C2,EMILIN1,3.13,3.01,1.96
Q02818,NUCB1,1.57,1.59,1.95
P37837,TALDO1,1.53,0.48,1.94
P08253,MMP2,1.6,1.94,1.93
P16070,CD44,2.25,1.2,1.92
P04406,GAPDH,6.78,3.83,1.91
P09382,LGALS1,1.38,2.36,1.91
P31946,YWHAB,1.75,2.43,1.9
O75347,TBCA,3.61,2.6,1.9
P14314,PRKCSH,2.16,2.93,1.89
P14174,MIF,6.19,1.43,1.89
P31949,S100A11,0.56,1.35,1.88
Q969H8,MYDGF,1.92,2.68,1.88
Q02809,PLOD1,2.44,3.23,1.88
P35579,MYH9,2.4,1.76,1.85
Q08380,LGALS3BP,1.46,1.76,1.79
P30101,PDIA3,1.76,2.09,1.79
P11021,HSPA5,2.03,3.93,1.78
P06748,NPM1,7.51,1.74,1.77
P61916,NPC2,1.72,1.76,1.75
P46940,IQGAP1,3.41,2.98,1.75
P60842,EIF4A1,4.04,2.31,1.73
P07602,PSAP,1.44,3.8,1.73
P21333,FLNA,1.94,1.92,1.7
P22626,HNRNPA2B1,1.29,1.33,1.69
P40926,MDH2,1.55,1.4,1.69
P21810,BGN,0.78,3.62,1.68
P06865,HEXA,1.65,1.81,1.68
P08238,HSP90AB1,5.01,2.69,1.65
O14950;P19105,MYL12B;MYL12A,4.93,1.53,1.63
O75369,FLNB,2.31,2.46,1.62
P06744,GPI,0.45,1.41,1.62
P06733,ENO1,3.6,3.5,1.61
Q9UBG0,MRC2,1.98,2.84,1.6
P24593,IGFBP5,5.36,2.94,1.6
P60660,MYL6,3.39,1.86,1.58
P62937,PPIA,2.45,2.16,1.58
P60174,TPI1,1.08,1.43,1.58
P05067,APP,2.67,2.07,1.57
P18669,PGAM1,1.83,3.46,1.55
P07942,LAMB1,0.46,3.4,1.55
P62942,FKBP1A,2.15,1.56,1.54
P40925,MDH1,1.87,3.27,1.54
P30041,PRDX6,1.53,3.31,1.52
P09211,GSTP1,2.01,1.68,1.51
P14618,PKM,5.73,3.98,1.5
Q9UBR2,CTSZ,3,2.78,1.5
Q16881,TXNRD1,2.87,2.85,1.5
Q16555,DPYSL2,6,2.25,1.48
P07737,PFN1,1.11,2.2,1.48
P07686,HEXB,1.79,2.99,1.46
P11142,HSPA8,2.49,2.98,1.46
P0DMV8;P0DMV9,HSPA1A;HSPA1B,2.96,2.4,1.45
O43707,ACTN4,1.25,0.72,1.44
P27348,YWHAQ,2.21,2.3,1.43
P28072,PSMB6,2.65,1.24,1.43
P16035,TIMP2,1.46,1.54,1.43
P13929,ENO3,1.95,2.76,1.43
Q6EMK4,VASN,1.85,2.82,1.41
Q09666,AHNAK,3.79,2.67,1.41
P62258,YWHAE,1.06,0.8,1.39
P00441,SOD1,1.55,2.37,1.39
P52565,ARHGDIA,1.68,1.33,1.37
Q9Y240,CLEC11A,3.68,2.59,1.37
P12814,ACTN1,1.01,1.77,1.37
P08670,VIM,2.25,2.86,1.36
P29401,TKT,2.08,2.18,1.35
P07900,HSP90AA1,4.94,3.42,1.34
P27797,CALR,1.22,0.51,1.32
P42785,PRCP,4.06,2.17,1.32
A5A3E0,POTEF,2.94,3.01,1.29
P07951,TPM2,1.89,2.21,1.29
P00338,LDHA,3.03,1.61,1.29
P62158,CALM1,0.79,1.14,1.28
Q99715,COL12A1,1.27,1.33,1.28
P07195,LDHB,2.59,2.17,1.27
O60568,PLOD3,4.51,3.32,1.25
P63104,YWHAZ,1.22,2.29,1.25
Q99497,PARK7,3.28,3.05,1.24
P98160,HSPG2,1.89,1.6,1.21
O75083,WDR1,3.97,2.25,1.19
P18206,VCL,2.01,0.76,1.17
Q96CG8,CTHRC1,1.64,2.8,1.16
P13639,EEF2,2.39,2.98,1.13
Q16270,IGFBP7,3.26,0.56,1.11
P30086,PEBP1,0.68,1.57,1.1
O00468,AGRN,1.36,2.07,1.1
P02751,FN1,1.08,3.4,1.1
Q15063,POSTN,1.36,3.18,1.1
P50395,GDI2,2.16,2.46,1.07
O00299,CLIC1,2.68,3.37,1.07
P60709;P63261,ACTB;ACTG1,4.11,2.86,1.05
Q05682,CALD1,2.25,2.3,1.04
Q9ULV4,CORO1C,4.88,1.35,1.01
Q9H299,SH3BGRL3,1.41,2.47,0.99
Q92626,PXDN,3.93,2.67,0.99
Q14697,GANAB,4.36,3.49,0.99
P13611,VCAN,1.8,1.32,0.98
Q562R1,ACTBL2,2.02,2.93,0.98
P37802,TAGLN2,2.83,1.61,0.93
P50454,SERPINH1,4.2,0.64,0.92
Q9Y490,TLN1,5.13,2.92,0.91
Q14847,LASP1,1.92,2.27,0.91
P26038,MSN,1.6,1.34,0.91
P25788,PSMA3,2.88,1.62,0.88
P04075,ALDOA,2.71,3.45,0.88
P01344,IGF2,2.88,1.57,0.84
P35555,FBN1,0.36,1.38,0.83
Q15293,RCN1,0.6,0.99,0.83
Q14112,NID2,1.67,0.35,0.82
Q14315,FLNC,1.84,1.64,0.77
Q01518,CAP1,2.48,2.89,0.75
O95967,EFEMP2,0.88,1.06,0.72
P06396,GSN,0.77,1.82,0.72
Q06830,PRDX1,2.17,2.57,0.72
P12110,COL6A2,1.37,1.94,0.7
P14625,HSP90B1,2.67,1.61,0.66
P13797,PLS3,3.6,2.66,0.65
P15311,EZR,1.85,2.31,0.64
Q13740,ALCAM,2.16,1.25,0.64
O43852,CALU,1.21,2.19,0.64
Q9Y4K0,LOXL2,4.51,1.55,0.62
Q14019,COTL1,3.44,0.77,0.62
P09972,ALDOC,1.21,2.49,0.59
Q04760,GLO1,1.59,1.85,0.59
P05121,SERPINE1,4.89,2.03,0.53
P17936,IGFBP3,3.79,0.68,0.53
P32119,PRDX2,2.48,3.43,0.51
P18065,IGFBP2,5.82,2.61,0.42
P35908,KRT2,1.64,2.85,0.4
P13645,KRT10,1.06,1.85,0.37
P09936,UCHL1,1.6,1.3,0.33
O00469,PLOD2,3.2,3.14,0.31
P01024,C3,5.1,1.96,0.31
P07996,THBS1,2.71,2.42,0.27
P02545,LMNA,2.35,0.8,0.11
